Segment,antecedent,consequent,support,confidence,lift,Industry
1,{22515 | CHILDS GARDEN SPADE PINK},{22514 | CHILDS GARDEN SPADE BLUE},0.0050732807215332,0.923076923076923,139.364975450082,Household goods retailing
1,{22514 | CHILDS GARDEN SPADE BLUE},{22515 | CHILDS GARDEN SPADE PINK},0.0050732807215332,0.765957446808511,139.364975450082,Household goods retailing
1,{22459 | CAST IRON HOOK GARDEN TROWEL},{22458 | CAST IRON HOOK GARDEN FORK},0.0059188275084554,0.933333333333333,140.913475177305,Household goods retailing
1,{22458 | CAST IRON HOOK GARDEN FORK},{22459 | CAST IRON HOOK GARDEN TROWEL},0.0059188275084554,0.893617021276596,140.913475177305,Household goods retailing
1,{22917 | HERB MARKER ROSEMARY},{22916 | HERB MARKER THYME},0.0050732807215332,1.0,181.948717948718,Other retailing
1,{22916 | HERB MARKER THYME},{22917 | HERB MARKER ROSEMARY},0.0050732807215332,0.923076923076923,181.948717948718,Other retailing
1,{22519 | CHILDS GARDEN BRUSH PINK},{22518 | CHILDS GARDEN BRUSH BLUE},0.0053551296505073,0.791666666666667,117.034722222222,Household goods retailing
1,{22518 | CHILDS GARDEN BRUSH BLUE},{22519 | CHILDS GARDEN BRUSH PINK},0.0053551296505073,0.791666666666667,117.034722222222,Household goods retailing
1,{22916 | HERB MARKER THYME},{22918 | HERB MARKER PARSLEY},0.0050732807215332,0.923076923076923,167.952662721894,Other retailing
1,{22918 | HERB MARKER PARSLEY},{22916 | HERB MARKER THYME},0.0050732807215332,0.923076923076923,167.952662721894,Other retailing
1,{22916 | HERB MARKER THYME},{22919 | HERB MARKER MINT},0.0050732807215332,0.923076923076923,159.759849906191,Other retailing
1,{22919 | HERB MARKER MINT},{22916 | HERB MARKER THYME},0.0050732807215332,0.878048780487805,159.759849906191,Other retailing
1,{22920 | HERB MARKER BASIL},{22918 | HERB MARKER PARSLEY},0.0052142051860202,0.948717948717949,172.618014464168,Other retailing
1,{22918 | HERB MARKER PARSLEY},{22920 | HERB MARKER BASIL},0.0052142051860202,0.948717948717949,172.618014464168,Other retailing
1,{22920 | HERB MARKER BASIL},{22919 | HERB MARKER MINT},0.0053551296505073,0.974358974358974,168.635397123202,Other retailing
1,{22919 | HERB MARKER MINT},{22920 | HERB MARKER BASIL},0.0053551296505073,0.926829268292683,168.635397123202,Other retailing
1,{22918 | HERB MARKER PARSLEY},{22919 | HERB MARKER MINT},0.0052142051860202,0.948717948717949,164.197623514697,Other retailing
